139.9707431	3.80768507	147.8158119	-8.458455623
140.0085683	3.836980774	147.725517	-8.487893705
140.0464287	3.866274703	147.6351845	-8.517334935
140.0843607	3.895563577	147.5448193	-8.54678447
140.122401	3.924842124	147.4544259	-8.576249671
140.1605862	3.954102879	147.3640086	-8.605739837
140.1989529	3.983336009	147.273571	-8.635265941
140.2375379	4.012529183	147.1831163	-8.664840352
140.2763778	4.041667471	147.0926476	-8.694476567
140.3155096	4.070733284	147.0021671	-8.724188925
140.35497	4.099706346	146.9116768	-8.753992328
140.3947959	4.128563702	146.8211785	-8.783901958
140.4350242	4.157279764	146.7306731	-8.813932982
140.475692	4.185826399	146.6401613	-8.844100271
140.5168361	4.214173038	146.5496436	-8.874418101
140.5584939	4.242286842	146.4591196	-8.904899862
140.6007022	4.270132892	146.3685889	-8.935557761
140.643492	4.297674422	146.278045	-8.966402527
140.6868527	4.32487308	146.1874482	-8.997443117
140.7307578	4.351689209	146.0967454	-9.028686448
140.7751807	4.378082109	146.0058843	-9.06013716
140.8200946	4.404010277	145.9148125	-9.091797439
140.8654729	4.42943164	145.8234783	-9.123666877
140.9112887	4.454303746	145.7318302	-9.155742386
140.9575153	4.478583952	145.6398171	-9.188018158
141.0041259	4.502229582	145.5473882	-9.220485674
141.0510936	4.525198068	145.4544931	-9.253133756
141.0983915	4.547447072	145.3610819	-9.28594867
141.1459927	4.568934587	145.2671048	-9.318914272
141.19387	4.589619024	145.1725126	-9.352012206
141.2419966	4.609459271	145.0772566	-9.385222138
141.2903453	4.628414746	144.9812882	-9.418522049
141.338889	4.646445423	144.8845595	-9.451888561
141.3876013	4.663511846	144.787027	-9.485297315
141.4364609	4.679575123	144.6886784	-9.51872339
141.4854491	4.69459691	144.5895149	-9.552141748
141.5345471	4.708539387	144.4895377	-9.58552768
141.583736	4.721365217	144.388747	-9.618857261
141.6329967	4.733037511	144.2871426	-9.6521078
141.6823102	4.743519773	144.1847238	-9.68525829
141.7316574	4.752775848	144.0814891	-9.718289863
141.7810189	4.760769855	143.9774365	-9.751186243
141.8303757	4.767466125	143.8725633	-9.783934201
141.8797081	4.772829117	143.7668664	-9.816524022
141.9289969	4.776823347	143.6603416	-9.848949965
141.9782224	4.779413293	143.5529846	-9.881210737
142.0273651	4.780563311	143.4447901	-9.913309965
142.0764053	4.780237537	143.3357522	-9.945256683
142.1253232	4.778399782	143.2258645	-9.977065819
142.1741008	4.775013435	143.1151254	-10.00875869
142.2227441	4.770041351	143.0036082	-10.0403635
142.2712755	4.763445758	142.891438	-10.0719158
142.3197178	4.75518819	142.7787406	-10.10345885
142.3680941	4.745229457	142.6656416	-10.13504387
142.4164272	4.733529648	142.5522663	-10.16673021
142.4647401	4.720048183	142.4387395	-10.19858531
142.513056	4.704743895	142.3251861	-10.23068461
142.5613979	4.68757516	142.2117302	-10.26311133
142.609789	4.668500058	142.0984961	-10.29595611
142.6582524	4.647476585	141.9856075	-10.32931652
142.7068114	4.624462897	141.8731878	-10.36329651
142.7554893	4.599417604	141.7613603	-10.39800559
142.8043093	4.572300098	141.650248	-10.4335581
142.8532947	4.543070931	141.5399736	-10.47007213
142.9024691	4.511692231	141.4306595	-10.50766849
142.9518543	4.478128164	141.322424	-10.54646946
143.0014377	4.442345434	141.215286	-10.58659743
143.0511703	4.404313812	141.1091618	-10.62817349
143.1010018	4.364006649	141.0039638	-10.67131604
143.1508815	4.32140138	140.8996054	-10.71613944
143.2007588	4.276479994	140.7960006	-10.76275271
143.2505834	4.229229476	140.6930645	-10.81125831
143.3003045	4.179642233	140.5907131	-10.86175106
143.3498718	4.127716485	140.4888631	-10.91431697
143.3992348	4.073456636	140.3874322	-10.96903226
143.4483428	4.016873617	140.2863389	-11.02596239
143.4971455	3.957985207	140.1855024	-11.08516115
143.5455924	3.896816323	140.0848429	-11.14666981
143.593633	3.833399291	139.9842813	-11.2105163
143.6412169	3.767774084	139.8837396	-11.2767145
143.6882936	3.699988541	139.7831404	-11.34526351
143.7348127	3.630098556	139.682406	-11.41614707
143.7807192	3.558168235	139.5814237	-11.4893329
143.8259528	3.484270033	139.4800388	-11.56477224
143.8704532	3.408484847	139.3780947	-11.6423994
143.9141598	3.330902077	139.2754361	-11.72213152
143.9570124	3.251619641	139.1719086	-11.80386835
143.9989506	3.17074396	139.0673591	-11.88749228
144.0399143	3.088389889	138.9616355	-11.9728684
144.0798432	3.004680618	138.8545868	-12.05984471
144.1186772	2.919747523	138.7460631	-12.14825253
144.1563564	2.83372997	138.635916	-12.23790692
144.1928207	2.746775086	138.5239979	-12.32860733
144.2280103	2.659037463	138.4101629	-12.42013833
144.2618652	2.570678837	138.294266	-12.51227048
144.2943257	2.481867696	138.176164	-12.60476133
144.3253319	2.39277885	138.0557147	-12.69735658
144.3548244	2.303592944	137.9327784	-12.7897913
144.3827596	2.214495916	137.8072796	-12.88179138
144.4091229	2.125678411	137.6792584	-12.97307501
144.4339027	2.037335165	137.5487674	-13.06335419
144.4570875	1.949664367	137.4158595	-13.15233623
144.4786657	1.862867013	137.2805884	-13.2397252
144.4986257	1.777146236	137.143008	-13.32522336
144.5169559	1.692706617	137.0031728	-13.40853252
144.5336447	1.609753476	136.8611378	-13.48935538
144.5486804	1.528492135	136.7169581	-13.56739686
144.5620516	1.449127164	136.5706893	-13.64236541
144.5737466	1.371861587	136.4223875	-13.71397421
144.5837538	1.296896068	136.2721089	-13.78194245
144.5920616	1.224428061	136.1199099	-13.84599654
144.5986585	1.154650922	135.9658475	-13.90587131
